device_timestamp_ms,setpoint,adc_reading,control_signal,solenoid_state,received_iso
4851,0,0,0,0,2025-10-22T11:17:20.963065
4951,0,0,0,0,2025-10-22T11:17:21.072289
5051,1680,1680,419,1,2025-10-22T11:17:21.188314
5151,3127,3127,781,1,2025-10-22T11:17:21.292770
5251,2623,2623,655,1,2025-10-22T11:17:21.372723
5351,622,622,155,1,2025-10-22T11:17:21.466484
5451,0,0,0,0,2025-10-22T11:17:21.563782
5551,0,0,0,0,2025-10-22T11:17:21.675085
5651,0,0,0,0,2025-10-22T11:17:21.767635
5751,56,56,13,1,2025-10-22T11:17:21.868579
5851,2264,2264,565,1,2025-10-22T11:17:21.982020
5951,3215,3215,803,1,2025-10-22T11:17:22.082391
6051,2158,2158,539,1,2025-10-22T11:17:22.184295
6151,0,0,0,0,2025-10-22T11:17:22.259487
6251,0,0,0,0,2025-10-22T11:17:22.360272
6351,0,0,0,0,2025-10-22T11:17:22.478777
6451,0,0,0,0,2025-10-22T11:17:22.572043
6551,761,761,190,1,2025-10-22T11:17:22.666099
6651,2715,2715,678,1,2025-10-22T11:17:22.771009
6751,3070,3070,766,1,2025-10-22T11:17:22.884437
6851,1562,1562,390,1,2025-10-22T11:17:22.984078
6951,0,0,0,0,2025-10-22T11:17:23.059814
7051,0,0,0,0,2025-10-22T11:17:23.159820
7151,0,0,0,0,2025-10-22T11:17:23.259611
7251,0,0,0,0,2025-10-22T11:17:23.362867
7351,1415,1415,353,1,2025-10-22T11:17:23.476743
7451,3023,3023,755,1,2025-10-22T11:17:23.577386
7551,2807,2807,701,1,2025-10-22T11:17:23.674461
7651,909,909,227,1,2025-10-22T11:17:23.772669
7751,0,0,0,0,2025-10-22T11:17:23.866233
7851,0,0,0,0,2025-10-22T11:17:23.968325
7951,0,0,0,0,2025-10-22T11:17:24.068649
8051,0,0,0,0,2025-10-22T11:17:24.168040
8151,2025,2025,505,1,2025-10-22T11:17:24.274270
8251,3181,3181,794,1,2025-10-22T11:17:24.381662
8351,2382,2382,595,1,2025-10-22T11:17:24.482803
8451,250,250,62,1,2025-10-22T11:17:24.573914
8551,0,0,0,0,2025-10-22T11:17:24.659736
8651,0,0,0,0,2025-10-22T11:17:24.759828
8751,0,0,0,0,2025-10-22T11:17:24.859433
8851,445,445,111,1,2025-10-22T11:17:24.968839
8951,2523,2523,630,1,2025-10-22T11:17:25.078556
9051,3159,3159,789,1,2025-10-22T11:17:25.163686
9151,1852,1852,462,1,2025-10-22T11:17:25.263797
9251,0,0,0,0,2025-10-22T11:17:25.367182
9351,0,0,0,0,2025-10-22T11:17:25.465047
9451,0,0,0,0,2025-10-22T11:17:25.572055
9551,0,0,0,0,2025-10-22T11:17:25.675659
9651,1113,1113,278,1,2025-10-22T11:17:25.771188
9751,2911,2911,727,1,2025-10-22T11:17:25.876547
9851,2944,2944,735,1,2025-10-22T11:17:25.958143
9951,1212,1212,302,1,2025-10-22T11:17:26.058252
10051,0,0,0,0,2025-10-22T11:17:26.159675
10151,0,0,0,0,2025-10-22T11:17:26.264020
10251,0,0,0,0,2025-10-22T11:17:26.371800
10351,0,0,0,0,2025-10-22T11:17:26.472839
10451,1756,1756,438,1,2025-10-22T11:17:26.567062
10551,3136,3136,783,1,2025-10-22T11:17:26.672815
10651,2589,2589,646,1,2025-10-22T11:17:26.779992
10751,556,556,138,1,2025-10-22T11:17:26.866472
10851,0,0,0,0,2025-10-22T11:17:26.971144
10951,0,0,0,0,2025-10-22T11:17:27.060358
11051,0,0,0,0,2025-10-22T11:17:27.160088
11151,124,124,30,1,2025-10-22T11:17:27.262325
11251,2304,2304,575,1,2025-10-22T11:17:27.370806
11351,3212,3212,802,1,2025-10-22T11:17:27.467372
11451,2108,2108,526,1,2025-10-22T11:17:27.567859
11551,0,0,0,0,2025-10-22T11:17:27.665729
11651,0,0,0,0,2025-10-22T11:17:27.770734
11751,0,0,0,0,2025-10-22T11:17:27.865245
11851,0,0,0,0,2025-10-22T11:17:27.974290
11951,815,815,203,1,2025-10-22T11:17:28.072999
12051,2732,2732,682,1,2025-10-22T11:17:28.176485
12151,3066,3066,765,1,2025-10-22T11:17:28.269081
12251,1516,1516,378,1,2025-10-22T11:17:28.376544
12351,0,0,0,0,2025-10-22T11:17:28.467094
12451,0,0,0,0,2025-10-22T11:17:28.571573
12551,0,0,0,0,2025-10-22T11:17:28.671746
12651,0,0,0,0,2025-10-22T11:17:28.779077
12751,1467,1467,366,1,2025-10-22T11:17:28.858117
12851,3039,3039,759,1,2025-10-22T11:17:28.958177
12951,2775,2775,693,1,2025-10-22T11:17:29.058209
13051,860,860,214,1,2025-10-22T11:17:29.158070
13151,0,0,0,0,2025-10-22T11:17:29.260868
13251,0,0,0,0,2025-10-22T11:17:29.371699
13351,0,0,0,0,2025-10-22T11:17:29.470999
13451,0,0,0,0,2025-10-22T11:17:29.563697
13551,2064,2064,515,1,2025-10-22T11:17:29.678256
13651,3210,3210,801,1,2025-10-22T11:17:29.758152
13751,2344,2344,585,1,2025-10-22T11:17:29.857563
13851,187,187,46,1,2025-10-22T11:17:29.957478
