timestamp_ms,setpoint,adc_reading,control_signal,solenoid_state,local_timestamp
166041,1802,1802,446,1,2025-10-29T14:00:08.920420
166141,1710,1710,450,1,2025-10-29T14:00:09.014247
166241,1823,1823,427,1,2025-10-29T14:00:09.135314
166341,1742,1742,455,1,2025-10-29T14:00:09.433122
166441,1791,1791,435,1,2025-10-29T14:00:09.438304
166541,0,0,447,1,2025-10-29T14:00:09.448331
166641,0,0,0,0,2025-10-29T14:00:09.513821
166741,0,0,0,0,2025-10-29T14:00:09.665225
166841,0,0,0,0,2025-10-29T14:00:09.926264
166941,0,0,0,0,2025-10-29T14:00:10.172819
167041,0,0,0,0,2025-10-29T14:00:10.432022
167141,0,0,0,0,2025-10-29T14:00:10.632278
167241,0,0,0,0,2025-10-29T14:00:10.708963
167341,0,0,0,0,2025-10-29T14:00:10.711024
167441,0,0,0,0,2025-10-29T14:00:10.713067
167541,0,0,0,0,2025-10-29T14:00:10.715216
167641,0,0,0,0,2025-10-29T14:00:10.717700
167741,0,0,0,0,2025-10-29T14:00:10.874645
167841,0,0,0,0,2025-10-29T14:00:11.135903
167941,0,0,0,0,2025-10-29T14:00:11.216062
168041,0,0,0,0,2025-10-29T14:00:11.386167
168141,0,0,0,0,2025-10-29T14:00:11.475274
168241,0,0,0,0,2025-10-29T14:00:11.477613
168341,0,0,0,0,2025-10-29T14:00:11.618967
168441,0,0,0,0,2025-10-29T14:00:11.696056
168541,0,0,0,0,2025-10-29T14:00:11.699075
168641,0,0,0,0,2025-10-29T14:00:11.703072
168741,0,0,0,0,2025-10-29T14:00:11.705885
168841,0,0,0,0,2025-10-29T14:00:11.713545
168941,0,0,0,0,2025-10-29T14:00:11.884916
169041,0,0,0,0,2025-10-29T14:00:11.940275
169141,0,0,0,0,2025-10-29T14:00:12.097997
169241,0,0,0,0,2025-10-29T14:00:12.179403
169341,0,0,0,0,2025-10-29T14:00:12.224631
169441,0,0,0,0,2025-10-29T14:00:12.487488
169541,0,0,0,0,2025-10-29T14:00:12.731398
169641,0,0,0,0,2025-10-29T14:00:12.969729
169741,1709,1709,0,0,2025-10-29T14:00:13.226070
169841,1804,1804,426,1,2025-10-29T14:00:13.461499
